"video_cats","video_intense","video_num","Subject","Anxiety","ExpectedFear","how_aroused","how_distant_present","how_fearful","how_pleasant"
"Heights","High","1","R_10MYFMFzGFKy2HW",12,12,98,100,81,3
"Heights","High","1","R_10qJKyNZ3o2Dkq3",0,5,100,100,30,0
"Heights","High","1","R_12lqI0WF5dxXpia",40,70,100,71,60,19
"Heights","High","1","R_1BQKHtN9VN9z5tG",62,100,80,93,73,46
"Heights","High","1","R_1CHHRNA4rxJNfim",4,6,13,44,9,51
"Heights","High","1","R_1DuIwC2AbhKpfvM",44,46,57,60,58,40
"Heights","High","1","R_1f79gazvFUdCLWI",2,5,80,100,40,20
"Heights","High","1","R_1fd5BtFtMNBMzQF",0,16,75,80,18,74
"Heights","High","1","R_1feM36N4ez9RwgK",84,88,94,94,88,88
"Heights","High","1","R_1FfRryTC8KAv9Gp",2,7,5,3,3,51
"Heights","High","1","R_1gHHXhqbcvENyR3",28,46,7,7,12,39
"Heights","High","1","R_1gIRNfqsNEFlFWp",21,14,63,72,34,81
"Heights","High","1","R_1hW0wX7WUR6PSCn",43,23,41,61,30,29
"Heights","High","1","R_1I5eBOYD9VDpTsK",15,39,83,98,63,27
"Heights","High","1","R_1IQScNjM3elksde",0,0,10,20,10,50
"Heights","High","1","R_1jTVJTNs9FEBAep",16,8,72,74,58,22
"Heights","High","1","R_1Lhhw0Ksgdf7ojF",14,4,31,46,17,59
"Heights","High","1","R_1LnbufHBcXFWAVd",0,0,25,19,0,53
"Heights","High","1","R_1LXKjFBLLHyvA5i",38,54,42,51,66,32
"Heights","High","1","R_1mCvKEpVGMmHeyq",10,15,71,80,80,20
"Heights","High","1","R_1oiKn1VO3ws5Abk",72,92,80,93,93,82
"Heights","High","1","R_1OIWrOWKdVRbBb6",40,5,10,10,5,30
"Heights","High","1","R_1OJi1DP1O3bZbbC",85,40,100,94,71,57
"Heights","High","1","R_1OVvVsQ51Emxl3d",2,43,82,95,70,13
"Heights","High","1","R_1Ow90JtqPzzyiIl",26,44,29,27,30,26
"Heights","High","1","R_1ozh4JFGTd60SZS",6,94,100,100,100,0
"Heights","High","1","R_20VsOtsUPpScrKr",23,43,24,44,32,26
"Heights","High","1","R_22W97c2nnddHJzC",5,62,70,75,60,15
"Heights","High","1","R_245V7QCuVAGJXwz",4,0,76,76,4,77
"Heights","High","1","R_29gcRbSQPBattNG",8,20,14,84,11,51
"Heights","High","1","R_29slbYPknzFrS01",37,37,64,63,67,36
"Heights","High","1","R_2A0z1Nkh9wDNI10",25,23,66,76,0,53
"Heights","High","1","R_2b1sY4x7RzZJwoH",23,11,62,67,51,48
"Heights","High","1","R_2BktW5g7H57qJgc",33,61,73,59,100,0
"Heights","High","1","R_2cCr5zMp2MlGCEs",96,98,100,100,100,0
"Heights","High","1","R_2DNTVRinX9VQ1ed",54,95,70,69,96,16
"Heights","High","1","R_2Ea5cz4e784NV6V",63,62,72,86,73,23
"Heights","High","1","R_2EnpcrvuilRzOBP",10,25,70,70,55,40
"Heights","High","1","R_2eXOJ0kRTLXFc4y",0,0,0,30,0,51
"Heights","High","1","R_2EzVa2az83mkL6P",5,4,64,68,11,29
"Heights","High","1","R_2fycdMssIBVDXei",29,40,62,57,37,30
"Heights","High","1","R_2pWwICr7QDCfmKe",50,70,81,80,85,19
"Heights","High","1","R_2qmm3azmZLkZnpF",24,15,91,83,70,24
"Heights","High","1","R_2QQXghApH9CCSwh",9,14,78,91,24,26
"Heights","High","1","R_2rHhQTDPuh9VlMz",0,0,92,91,61,10
"Heights","High","1","R_2t0rEjhFI5EyPGp",94,92,88,85,93,91
"Heights","High","1","R_2t2rmOBVtwQYYGB",53,52,59,58,55,49
"Heights","High","1","R_2tDzvTTE312BELk",0,10,80,100,25,40
"Heights","High","1","R_2tG7Tof5Zo6oGXH",44,30,98,90,94,5
"Heights","High","1","R_2thXRlKhCy51rvA",7,15,100,87,49,0
"Heights","High","1","R_2WGqJyUp3VFHdeh",0,0,55,51,0,51
"Heights","High","1","R_2woj0fjDNSFOZf8",100,100,84,74,98,14
"Heights","High","1","R_2xAaNvwk3el9dN8",66,59,83,86,78,86
"Heights","High","1","R_2YhOs8GYDOiHKrR",85,80,100,90,100,5
"Heights","High","1","R_30cSnmNoqcRvfHs",15,63,61,74,29,28
"Heights","High","1","R_30pL8gfRSpxD9CH",18,30,10,13,20,37
"Heights","High","1","R_31hpkZDetvvM7YG",17,27,66,69,54,6
"Heights","High","1","R_31QumcKAN10CCcl",60,40,50,90,60,30
"Heights","High","1","R_3Eig1urtWd9ZohE",0,83,90,95,73,25
"Heights","High","1","R_3F2H4MbbYg3UwTC",4,1,88,94,31,32
"Heights","High","1","R_3gMVwye81BOcS6b",76,51,68,71,62,80
"Heights","High","1","R_3Gw6zVukPK9MTWq",0,10,60,81,10,29
"Heights","High","1","R_3HGIUR7QvJuTjKM",22,20,92,81,81,18
"Heights","High","1","R_3I9nX5sPCIEoibp",0,4,56,69,3,44
"Heights","High","1","R_3iEZ1c2Roy50HDG",100,90,76,75,98,95
"Heights","High","1","R_3KI2DOdQWdtUjvX",0,24,84,78,82,40
"Heights","High","1","R_3kodaPZXmwn1qHX",0,0,0,100,0,89
"Heights","High","1","R_3M9aStraoLkFoub",22,18,68,23,65,27
"Heights","High","1","R_3QFpzsfuvOZgEgc",23,35,54,78,40,30
"Heights","High","1","R_3qPy5lgfbRCMllE",91,91,92,90,89,81
"Heights","High","1","R_3Rjzrp9XlGtXuyf",89,75,82,85,76,69
"Heights","High","1","R_5usWo0Z0hYCNUop",5,61,66,66,63,15
"Heights","High","1","R_6JuEyEhcYhcn6CJ",15,45,62,90,35,39
"Heights","High","1","R_6YHPRLZbi0v4uFH",15,8,82,99,25,9
"Heights","High","1","R_7WocpUvgaPDHFv3",4,2,25,85,10,65
"Heights","High","1","R_8BOLxMr4TTHGfN7",57,57,65,63,67,34
"Heights","High","1","R_8ozpB3TIzLEXmHn",0,0,90,76,29,40
"Heights","High","1","R_9YtH8lMKh1rch2N",5,5,26,37,21,0
"Heights","High","1","R_AEQxmOtQGvgUrW9",0,0,93,89,9,38
"Heights","High","1","R_b8A9RtViu49ZnP3",10,10,40,25,10,40
"Heights","High","1","R_bJK9isWmb2dn6ff",70,70,34,37,81,26
"Heights","High","1","R_CgMvyD5uFPvj4pb",1,0,4,97,15,15
"Heights","High","1","R_cNHhzTpstbD1Udj",6,25,62,90,65,7
"Heights","High","1","R_DHtsKLOLGFeOOGZ",82,89,83,79,70,91
"Heights","High","1","R_e9VF8WhgFofgYIp",10,10,95,90,30,54
"Heights","High","1","R_NXbrPS3Do0T1Trj",40,30,100,5,100,10
"Heights","High","1","R_rqDsdBHMfxuikxz",13,18,76,85,76,0
"Heights","High","1","R_s7gcFmTYtepPNSh",52,51,51,51,51,51
"Heights","High","1","R_sI177MRgUJ52g25",89,83,90,92,90,90
"Heights","High","1","R_svwsgFOFeQboFON",21,35,81,85,74,8
"Heights","High","1","R_T7NZSFr9ZfOtmJb",88,100,100,99,98,0
"Heights","High","1","R_ULXwWPGTqiwddfP",35,74,32,52,32,56
"Heights","High","1","R_UMuLNjEdxN5ICC5",83,77,96,96,95,5
"Heights","High","1","R_UsxSSin119cHcFX",83,79,100,100,100,0
"Heights","High","1","R_UtoAGqYJVRo3syJ",9,7,26,58,11,58
"Heights","High","1","R_wMYUZICEHbTyW77",94,97,96,77,90,90
"Heights","High","1","R_wXfIAEliwNsDJ5f",52,51,100,100,100,73
"Heights","High","1","R_XhrtBks2UvlyHdL",29,51,75,83,71,0
"Heights","High","1","R_XMsSebbtCpFHPLr",76,78,61,73,65,19
"Heights","High","1","R_Xudqt6XHJ1T7i5b",65,92,64,86,88,18
"Heights","High","2","R_10MYFMFzGFKy2HW",11,12,93,100,31,30
"Heights","High","2","R_10qJKyNZ3o2Dkq3",0,5,100,100,10,40
"Heights","High","2","R_12lqI0WF5dxXpia",30,40,100,75,83,31
"Heights","High","2","R_1BQKHtN9VN9z5tG",52,85,80,83,78,40
"Heights","High","2","R_1CHHRNA4rxJNfim",0,0,59,68,21,27
"Heights","High","2","R_1DuIwC2AbhKpfvM",47,55,46,60,56,47
"Heights","High","2","R_1f79gazvFUdCLWI",3,7,70,100,40,20
"Heights","High","2","R_1fd5BtFtMNBMzQF",0,16,60,70,5,70
"Heights","High","2","R_1feM36N4ez9RwgK",91,90,93,90,87,81
"Heights","High","2","R_1FfRryTC8KAv9Gp",81,90,93,2,18,10
"Heights","High","2","R_1gHHXhqbcvENyR3",58,67,67,56,59,27
"Heights","High","2","R_1gIRNfqsNEFlFWp",25,10,62,70,34,64
"Heights","High","2","R_1hW0wX7WUR6PSCn",32,10,71,81,40,18
"Heights","High","2","R_1I5eBOYD9VDpTsK",0,0,51,70,20,27
"Heights","High","2","R_1IQScNjM3elksde",0,0,20,20,10,30
"Heights","High","2","R_1jTVJTNs9FEBAep",19,30,75,84,60,17
"Heights","High","2","R_1Lhhw0Ksgdf7ojF",8,10,7,92,7,75
"Heights","High","2","R_1LnbufHBcXFWAVd",0,0,80,85,0,47
"Heights","High","2","R_1LXKjFBLLHyvA5i",33,38,36,39,41,36
"Heights","High","2","R_1mCvKEpVGMmHeyq",10,10,81,80,65,30
"Heights","High","2","R_1oiKn1VO3ws5Abk",70,83,88,87,100,96
"Heights","High","2","R_1OIWrOWKdVRbBb6",35,5,10,10,5,50
"Heights","High","2","R_1OJi1DP1O3bZbbC",96,0,75,72,64,76
"Heights","High","2","R_1OVvVsQ51Emxl3d",39,40,83,93,67,7
"Heights","High","2","R_1Ow90JtqPzzyiIl",16,24,23,32,26,11
"Heights","High","2","R_1ozh4JFGTd60SZS",0,93,100,100,100,0
"Heights","High","2","R_20VsOtsUPpScrKr",18,57,28,37,6,68
"Heights","High","2","R_22W97c2nnddHJzC",15,60,75,81,80,15
"Heights","High","2","R_245V7QCuVAGJXwz",3,0,80,80,2,70
"Heights","High","2","R_29gcRbSQPBattNG",3,10,8,71,7,56
"Heights","High","2","R_29slbYPknzFrS01",30,6,94,100,94,0
"Heights","High","2","R_2A0z1Nkh9wDNI10",18,14,56,53,12,84
"Heights","High","2","R_2b1sY4x7RzZJwoH",24,7,58,52,51,29
"Heights","High","2","R_2BktW5g7H57qJgc",63,73,100,100,100,82
"Heights","High","2","R_2cCr5zMp2MlGCEs",85,85,100,100,100,0
"Heights","High","2","R_2DNTVRinX9VQ1ed",91,95,73,75,95,17
"Heights","High","2","R_2Ea5cz4e784NV6V",22,37,66,75,63,24
"Heights","High","2","R_2EnpcrvuilRzOBP",5,20,60,80,40,40
"Heights","High","2","R_2eXOJ0kRTLXFc4y",0,0,42,62,0,83
"Heights","High","2","R_2EzVa2az83mkL6P",4,4,72,70,23,9
"Heights","High","2","R_2fycdMssIBVDXei",13,19,80,78,72,20
"Heights","High","2","R_2pWwICr7QDCfmKe",55,80,100,100,100,0
"Heights","High","2","R_2qmm3azmZLkZnpF",68,68,66,76,77,75
"Heights","High","2","R_2QQXghApH9CCSwh",13,0,38,66,0,43
"Heights","High","2","R_2rHhQTDPuh9VlMz",0,0,28,81,30,28
"Heights","High","2","R_2t0rEjhFI5EyPGp",92,93,86,88,92,91
"Heights","High","2","R_2t2rmOBVtwQYYGB",36,58,24,14,25,52
"Heights","High","2","R_2tDzvTTE312BELk",9,0,70,100,15,35
"Heights","High","2","R_2tG7Tof5Zo6oGXH",38,40,92,98,90,18
"Heights","High","2","R_2thXRlKhCy51rvA",6,17,100,100,22,23
"Heights","High","2","R_2WGqJyUp3VFHdeh",0,0,51,51,0,51
"Heights","High","2","R_2woj0fjDNSFOZf8",100,100,14,8,100,0
"Heights","High","2","R_2xAaNvwk3el9dN8",57,58,76,93,71,28
"Heights","High","2","R_2YhOs8GYDOiHKrR",70,75,100,95,100,0
"Heights","High","2","R_30cSnmNoqcRvfHs",6,63,89,94,69,13
"Heights","High","2","R_30pL8gfRSpxD9CH",2,20,40,50,36,30
"Heights","High","2","R_31hpkZDetvvM7YG",16,18,60,46,38,34
"Heights","High","2","R_31QumcKAN10CCcl",40,40,55,55,65,30
"Heights","High","2","R_3Eig1urtWd9ZohE",2,93,97,100,100,85
"Heights","High","2","R_3F2H4MbbYg3UwTC",0,10,83,69,22,31
"Heights","High","2","R_3gMVwye81BOcS6b",83,81,70,70,72,69
"Heights","High","2","R_3Gw6zVukPK9MTWq",0,5,100,90,20,9
"Heights","High","2","R_3HGIUR7QvJuTjKM",11,9,90,74,71,16
"Heights","High","2","R_3I9nX5sPCIEoibp",0,1,59,80,4,30
"Heights","High","2","R_3iEZ1c2Roy50HDG",96,93,71,72,91,91
"Heights","High","2","R_3KI2DOdQWdtUjvX",0,18,63,65,63,61
"Heights","High","2","R_3kodaPZXmwn1qHX",0,0,0,100,0,100
"Heights","High","2","R_3M9aStraoLkFoub",15,14,70,20,62,23
"Heights","High","2","R_3QFpzsfuvOZgEgc",30,40,75,90,46,11
"Heights","High","2","R_3qPy5lgfbRCMllE",92,89,94,91,83,81
"Heights","High","2","R_3Rjzrp9XlGtXuyf",78,75,76,87,68,68
"Heights","High","2","R_5usWo0Z0hYCNUop",10,64,69,75,64,25
"Heights","High","2","R_6JuEyEhcYhcn6CJ",28,62,89,93,77,7
"Heights","High","2","R_6YHPRLZbi0v4uFH",39,15,73,99,25,0
"Heights","High","2","R_7WocpUvgaPDHFv3",2,3,26,35,20,60
