,video_num,Arousal,Fear,Valence,semArousal,semFear,semValence,stdArousal,stdFear,stdValence
0,1.0,5.257425742574258,5.178217821782178,2.366336633663366,0.11539045211900353,0.12531268790768466,0.09349186730659023,1.6400064636842335,1.7810279306150854,1.328769095441176
0,2.0,5.2772277227722775,5.267326732673268,2.2475247524752477,0.12261971895336396,0.12070556294290809,0.09720285851794612,1.7427536504603274,1.7155483819827402,1.3815121903986551
0,3.0,5.618811881188119,5.584158415841584,2.0643564356435644,0.111596520692429,0.11436730508393257,0.09444490752823927,1.5860845667846522,1.6254648121003987,1.3423143419928019
0,4.0,5.198019801980198,4.9950495049504955,2.4356435643564356,0.11681865811934118,0.1173357267099302,0.09593267345888704,1.6603050848354077,1.6676540102894786,1.3634594688027322
0,5.0,4.896039603960396,4.772277227722772,2.782178217821782,0.1279609010961114,0.1295588556634201,0.1053253994582962,1.8186661118205338,1.8413773134055427,1.4969551876232072
0,6.0,5.074257425742574,5.0495049504950495,2.5297029702970297,0.1205342256255946,0.11843362937794885,0.09678362541627196,1.7131132211639348,1.683258139045208,1.3755537685023014
0,7.0,2.495049504950495,1.400990099009901,4.866336633663367,0.11832857382851443,0.06814041496370549,0.09408273609538224,1.6817650191470324,0.9684572590404016,1.3371669187880229
0,8.0,2.8514851485148514,1.2623762376237624,5.391089108910891,0.12392531513468553,0.05810795676010348,0.10244342077592812,1.7613096586655868,0.825869237255196,1.4559945745006468
0,9.0,2.797029702970297,1.386138613861386,5.123762376237623,0.1208191482483775,0.05827453209213627,0.09441133583851337,1.7171627324920637,0.8282367175467402,1.3418371986318374
0,10.0,3.405940594059406,2.5247524752475248,4.400990099009901,0.11709596169504158,0.10671464892576404,0.09157933227159036,1.6642463091585638,1.5167001324126377,1.3015868653534772
0,11.0,3.0792079207920793,1.9257425742574257,4.52970297029703,0.12718052058084298,0.09948962644173166,0.10077305524822258,1.8075748207676696,1.4140132691888336,1.432254219801913
0,12.0,3.5,2.089108910891089,4.9405940594059405,0.1285066723143929,0.10602229969774934,0.10681971227870649,1.8264229782617136,1.5068600010307112,1.5181933632195006
0,13.0,4.316831683168317,1.9306930693069306,5.0594059405940595,0.1253263089578162,0.09455780162234255,0.10495895232724838,1.7812215221111554,1.3439188685427994,1.4917469953292972
0,14.0,4.594059405940594,3.277227722772277,2.1485148514851486,0.12967173805210583,0.13394721442244784,0.08327216430771664,1.8429816735902984,1.903747610060144,1.1835198250959948
0,15.0,3.0742574257425743,2.495049504950495,3.297029702970297,0.14210293848544192,0.13078588145689687,0.09727307731034683,2.019662228069796,1.8588166265848847,1.3825101869511818
0,16.0,3.608910891089109,3.0,2.6485148514851486,0.14246798673690086,0.13445418251473118,0.08766668620935013,2.024850538549175,1.9109529804608847,1.2459777164651016
0,17.0,3.1782178217821784,2.277227722772277,3.762376237623762,0.13587403929505093,0.11770041505103498,0.09212556824393694,1.9311329368998176,1.672837205481619,1.309350337191003
0,18.0,2.4702970297029703,1.8366336633663367,3.391089108910891,0.11621014307827697,0.09411124287482234,0.07879816801861879,1.6516564611211582,1.3375720762484715,1.1199323904523328
